id,cluster
8aff426d-b8c0-43aa-ad26-835ef4de6129,0
37e624be-b125-464f-85b6-1838530193ef,3
b8257184-6307-46ab-b06e-d979336d1263,2
63140d1f-dda8-40fe-8931-bcaba65d5772,1
11cffc57-44be-4d79-bfd5-97482be566d3,1
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,1
973d80a1-f1b8-461b-bb25-7d8852968b1c,2
8fe87807-dae8-4341-94fd-2ab91f176464,2
c18a7f01-1cb6-4987-a2cc-93251d3719b9,1
0777b4fd-292a-439b-848f-d772ee28c3b8,1
a0e91fd1-b00b-4ff7-8633-62657662b03b,2
84be5122-71d5-4a35-a912-fd2911e3c64f,0
0f595b0b-2253-4585-a672-fda592da7191,0
920dcf5c-136f-4ffc-9449-03f00c1b5a46,3
facd942d-02a2-46bf-936c-e3afd39ee20d,1
140d30f7-f16d-4455-a448-516ab6616812,1
178a48ef-f870-46d7-ba3c-c94b35477459,1
69d1f6b7-dc43-4dfd-90da-507a8dfd23d2,1
ca60a74b-7cdc-4098-a20c-2de916dcb66b,0
df6085e7-42f9-4ce3-92b0-3a7a24159a61,0
e46aa804-164c-4907-a7ca-07a99d66d1b6,3
094422ce-696c-482d-9927-c3cfbf347f7a,3
a462a4cb-bbaa-4417-b876-4b8606c6f8db,0
7729084d-fc2d-41d8-a8df-891da74078f1,1
86008598-05ed-4532-8a70-e8ee8daf3796,1
06bf89b8-3e0b-4be9-a611-1e656cae34eb,1
502b3359-ee17-4ecc-8046-ceb4e6559fb8,1
0543ec11-51e5-4b6e-8ff3-bd1dc271d768,1
5242c623-abc6-4cc8-a1e3-dde93a899f00,1
4d1d8f30-346e-47a5-aed6-06a86e35f6d8,1
de734972-0ed4-47d2-85ed-94c639524ef3,3
b48a1279-3852-4482-902f-203558c37a33,3
02c609c9-52b4-49d5-b6e8-cc14787f1822,3
3fe05d73-7de1-4c32-ad94-991ff0ad4290,3
0e375556-7947-4dc0-a628-d1674e5d1658,1
82456e41-801e-4f90-9263-6c96d3e72160,1
2761ad98-baa2-4022-b98c-146a32b16dec,0
985a13af-6aee-4660-83c1-ce5114758d4e,2
9b6f3d40-da34-465e-9211-b0d7b1d19036,3
e63d7e85-caef-4f2f-a89b-3889907f7e74,3
2104d59d-0957-4875-b4b1-7f968cb43352,3
3d594a5b-ff2d-41a2-9c81-ae7a3b055f89,2
b64d3856-e630-4fa6-b5f7-d02e900e510e,0
761b9fc9-1000-476c-bebe-6c40dd431b1c,0
bab67e88-be02-40c9-b3d7-b43a4adff716,3
5190b002-36f4-497b-b1aa-856762facb07,0
8cc82a77-7371-4839-bca3-86f8d3ea627a,0
e42b147c-89f1-46de-b56e-0f201d709601,0
269d6f1b-faa1-4fae-ab15-e71211c94cff,3
9498ba9c-5acf-4219-9c4f-a9e87e4aeadd,3
795c1324-5586-4057-8c6a-574755248aa2,3
724a7dd7-d80d-4320-86c7-b8a879bb619d,0
4547058c-19a5-459c-96e7-5c4cfa7f2568,1
12779ba3-969c-48dc-97d8-33e72279f695,1
4ed0a63d-81fe-441f-b87a-cd4e6db65bb7,1
4d565122-229a-4541-8a53-3b18169c3635,0
2d3e3b00-62f8-48fd-a80d-d15a299ed045,0
61aca849-8359-4b40-b321-176160c241a7,0
02647f9b-5108-4955-938f-e6b003b62690,1
613608a5-2b5d-4cca-8527-5639ab76949c,1
858b4d2a-590d-4d36-b89c-adb0cb039d22,1
2624655e-ea07-468a-8da8-2e39c9d1e7f0,0
b9dc4688-75e2-45ed-82ed-c33ca308f94e,0
9a26d7df-1335-45d4-97cd-6d7459fb2674,0
ee5c62d7-b0f9-4818-8698-425ffdcdb11a,0
e51114ac-ff3c-4823-be87-e25e9085096a,3
