rfq_id,match_id,similarity_score
8aff426d-b8c0-43aa-ad26-835ef4de6129,6f5e4b13-e1f1-4a4c-b426-a60ead9faf7a,0.9995871080939118
8aff426d-b8c0-43aa-ad26-835ef4de6129,146a67a8-eae0-45ea-b93d-08c5fd9ed2d4,0.9992190869861981
8aff426d-b8c0-43aa-ad26-835ef4de6129,7d4938ac-745b-4ddc-a0bc-e2f8535411b8,0.9991176073238239
37e624be-b125-464f-85b6-1838530193ef,9b2bb8e8-ff04-4cf5-886b-0831473dde11,0.8499070043000949
37e624be-b125-464f-85b6-1838530193ef,14801f01-3697-4034-a4a1-9d418eba55e2,0.8499070043000949
37e624be-b125-464f-85b6-1838530193ef,c1dc55f3-9105-4f30-b5fc-b1db024889f7,0.8498825071019663
b8257184-6307-46ab-b06e-d979336d1263,1d7b7693-2ed9-40f3-b3b2-3f04b897c001,0.931950783176188
b8257184-6307-46ab-b06e-d979336d1263,eecb83ef-8836-4a6b-a880-5279f9f6d0c2,0.9258026704785312
b8257184-6307-46ab-b06e-d979336d1263,4c7232c9-33b7-4531-b478-5c001092cb50,0.9190073368631928
63140d1f-dda8-40fe-8931-bcaba65d5772,75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,0.9981762355673405
63140d1f-dda8-40fe-8931-bcaba65d5772,11cffc57-44be-4d79-bfd5-97482be566d3,0.9925896860203494
63140d1f-dda8-40fe-8931-bcaba65d5772,c18a7f01-1cb6-4987-a2cc-93251d3719b9,0.953879858061512
11cffc57-44be-4d79-bfd5-97482be566d3,75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,0.9981096899479143
11cffc57-44be-4d79-bfd5-97482be566d3,63140d1f-dda8-40fe-8931-bcaba65d5772,0.9925896860203494
11cffc57-44be-4d79-bfd5-97482be566d3,c18a7f01-1cb6-4987-a2cc-93251d3719b9,0.9668854384470087
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,63140d1f-dda8-40fe-8931-bcaba65d5772,0.9981762355673405
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,11cffc57-44be-4d79-bfd5-97482be566d3,0.9981096899479143
