rfq_id,match_id,similarity_score
8aff426d-b8c0-43aa-ad26-835ef4de6129,3db57ead-a33d-44b3-81bf-6e319dda5aa7,1.0
8aff426d-b8c0-43aa-ad26-835ef4de6129,e890b168-10be-43f0-bf32-5b5a6645b637,1.0
8aff426d-b8c0-43aa-ad26-835ef4de6129,9bc1c99a-5363-4d71-9e5d-70e7e69f988c,1.0
37e624be-b125-464f-85b6-1838530193ef,bab67e88-be02-40c9-b3d7-b43a4adff716,0.5
37e624be-b125-464f-85b6-1838530193ef,9b6f3d40-da34-465e-9211-b0d7b1d19036,0.5
37e624be-b125-464f-85b6-1838530193ef,54d4992c-dffe-406c-a5c7-30108f547d64,0.5
b8257184-6307-46ab-b06e-d979336d1263,05c71356-48ba-4b48-a217-678ba62ca4b0,1.0
b8257184-6307-46ab-b06e-d979336d1263,eecb83ef-8836-4a6b-a880-5279f9f6d0c2,1.0
b8257184-6307-46ab-b06e-d979336d1263,1d54d3de-d0b3-4273-89e9-7ef3e8febb0d,1.0
63140d1f-dda8-40fe-8931-bcaba65d5772,11cffc57-44be-4d79-bfd5-97482be566d3,1.0
63140d1f-dda8-40fe-8931-bcaba65d5772,75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,1.0
63140d1f-dda8-40fe-8931-bcaba65d5772,c18a7f01-1cb6-4987-a2cc-93251d3719b9,1.0
11cffc57-44be-4d79-bfd5-97482be566d3,63140d1f-dda8-40fe-8931-bcaba65d5772,1.0
11cffc57-44be-4d79-bfd5-97482be566d3,75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,1.0
11cffc57-44be-4d79-bfd5-97482be566d3,c18a7f01-1cb6-4987-a2cc-93251d3719b9,1.0
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,63140d1f-dda8-40fe-8931-bcaba65d5772,1.0
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,11cffc57-44be-4d79-bfd5-97482be566d3,1.0
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,c18a7f01-1cb6-4987-a2cc-93251d3719b9,1.0
973d80a1-f1b8-461b-bb25-7d8852968b1c,d82bdfdb-7086-4b6b-9c1c-0ac0c11d8ad9,0.75
973d80a1-f1b8-461b-bb25-7d8852968b1c,4abe8206-5516-481f-8df3-39702b02717b,0.75
973d80a1-f1b8-461b-bb25-7d8852968b1c,427971fd-2d3e-4b1c-a146-764aae84a056,0.75
8fe87807-dae8-4341-94fd-2ab91f176464,87d99bfa-3787-46fa-b3e2-b2c7c12b38cd,0.75
8fe87807-dae8-4341-94fd-2ab91f176464,1982a20f-640e-4caa-b9e7-3ca15d7e1acb,0.75
8fe87807-dae8-4341-94fd-2ab91f176464,a17358c1-aece-44b4-bd08-696a32857e28,0.75
c18a7f01-1cb6-4987-a2cc-93251d3719b9,63140d1f-dda8-40fe-8931-bcaba65d5772,1.0
c18a7f01-1cb6-4987-a2cc-93251d3719b9,11cffc57-44be-4d79-bfd5-97482be566d3,1.0
c18a7f01-1cb6-4987-a2cc-93251d3719b9,75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,1.0
0777b4fd-292a-439b-848f-d772ee28c3b8,ac960bda-be71-418a-88a9-3f68201c3c0c,0.75
0777b4fd-292a-439b-848f-d772ee28c3b8,3200a4ec-1195-451c-aa71-a76b2e7f4522,0.75
0777b4fd-292a-439b-848f-d772ee28c3b8,a0a88835-3b7b-4e0f-9d3b-b7a6e8b7b729,0.75
a0e91fd1-b00b-4ff7-8633-62657662b03b,1f70190e-8134-4c09-ae03-9976205cd7bd,0.75
a0e91fd1-b00b-4ff7-8633-62657662b03b,7e288b0c-a07c-49ab-aeb3-eafc485554d2,0.75
a0e91fd1-b00b-4ff7-8633-62657662b03b,63078462-b3a8-463c-8c44-301ec9d0d024,0.75
84be5122-71d5-4a35-a912-fd2911e3c64f,ac960bda-be71-418a-88a9-3f68201c3c0c,1.0
84be5122-71d5-4a35-a912-fd2911e3c64f,7a657d65-533c-4ad1-a7f0-5f4f8c860da2,1.0
84be5122-71d5-4a35-a912-fd2911e3c64f,69b87316-8ff0-4eab-b9ff-210247784518,1.0
0f595b0b-2253-4585-a672-fda592da7191,7e07b5ca-e434-4611-b567-dc4aafaca75e,1.0
0f595b0b-2253-4585-a672-fda592da7191,7b857aa7-ca9d-4245-84f3-96552e1d4e42,1.0
0f595b0b-2253-4585-a672-fda592da7191,e3965593-af94-4667-b8da-863b9cd8732e,1.0
920dcf5c-136f-4ffc-9449-03f00c1b5a46,16406759-f46f-4428-8e38-ab14c2ff84a4,1.0
920dcf5c-136f-4ffc-9449-03f00c1b5a46,2b1467df-c8b6-4d37-b7a5-27a8a1f0b690,1.0
920dcf5c-136f-4ffc-9449-03f00c1b5a46,dff7cdb0-f464-4b60-91ce-8d628f8ed4de,1.0
facd942d-02a2-46bf-936c-e3afd39ee20d,ac960bda-be71-418a-88a9-3f68201c3c0c,1.0
facd942d-02a2-46bf-936c-e3afd39ee20d,7a657d65-533c-4ad1-a7f0-5f4f8c860da2,1.0
